	Pro1	Pro2	Pro3	R2F01	R2F16
PB.69.793	31	15	10	13	9
PB.69.802	21	9	6	17	7
PB.69.816	80	31	39	46	45
PB.69.826	8	3	1	5	1
PB.69.828	21	12	11	23	25
PB.69.833	25	13	23	16	16
PB.69.862	51	12	8	35	16
PB.69.863	13	1	6	9	2
PB.69.867	8	2	2	5	2
PB.69.869	9	3	5	7	9
PB.69.903	12	4	7	16	7
PB.69.904	1	2	3	4	21
PB.69.905	84	24	34	103	101
PB.69.923	14	4	1	3	5
PB.69.954	3	4	3	9	2
PB.69.1059	1	3	2	2	2
PB.69.1097	5	3	1	7	7
PB.69.1109	6	1	2	5	3
PB.69.1130	29	18	6	13	15
PB.69.1141	4	1	1	2	6
PB.69.1169	77	83	72	149	68
PB.69.1176	15	14	15	25	8
PB.69.1193	4	2	2	1	2
PB.69.1212	20	15	6	14	9
PB.69.1222	6	3	2	1	1
PB.69.1227	21	14	7	14	7
PB.69.1230	18	9	5	15	11
PB.69.1242	4	3	2	3	3
PB.69.1249	6	2	1	5	4
PB.69.1256	42	12	14	18	11
PB.69.1261	9	10	3	5	6
PB.69.1284	25	9	2	17	2
PB.69.1289	16	7	5	37	11
PB.69.1290	19	6	2	24	5
PB.69.1291	6	2	4	6	4
PB.69.1293	3	1	2	1	1
PB.69.1294	5	2	4	4	7
PB.69.1323	17	14	2	16	14
PB.69.1366	1	1	2	4	1
PB.69.1378	4	1	1	1	8
PB.69.1387	4	1	1	7	11
PB.69.1411	40	8	14	29	39
PB.69.1418	5	4	1	12	10
PB.69.1483	4	1	1	4	2
PB.69.1484	64	45	9	57	22
PB.69.1490	13	5	4	6	12
PB.69.1520	1	1	1	4	2
PB.69.1524	24	11	3	19	5
PB.69.1526	5	4	2	2	2
PB.69.1528	8	5	5	32	8
PB.69.1562	9	1	1	9	1
PB.69.1570	10	5	6	12	5
PB.69.1602	2	1	1	1	1
PB.69.1609	12	5	3	6	4
PB.69.1613	10	6	5	2	7
PB.69.1623	5	2	3	2	1
PB.69.1629	3	2	4	4	1
PB.69.1636	37	19	16	22	27
PB.69.1653	27	8	9	38	16
PB.69.1655	15	2	5	7	9
PB.69.1671	5	1	1	7	1
PB.69.1682	14	4	3	5	10
PB.69.1690	26	22	13	24	15
PB.69.1697	68	25	21	61	27
PB.69.1706	28	17	15	19	22
PB.69.1716	21	8	3	24	7
PB.69.1725	11	11	4	15	5
PB.69.1735	12	13	4	12	23
PB.69.1742	9	2	4	14	3
PB.69.1759	7	7	3	6	3
PB.69.1761	50	40	1	42	34
PB.69.1806	18	6	3	20	2
PB.69.1813	22	9	9	19	8
PB.69.1814	209	93	82	290	88
PB.69.1820	1	1	1	1	2
PB.69.1829	22	12	8	23	7
PB.69.1852	18	8	3	7	3
PB.69.1858	8	6	1	3	1
PB.69.1871	6	4	3	2	7
PB.69.1890	21	10	3	31	11
PB.69.1940	24	23	7	34	18
PB.69.1945	12	3	3	13	1
PB.69.1995	48	26	6	42	51
PB.69.1997	68	20	11	36	55
PB.69.2014	3	2	4	5	4
PB.69.2029	5	3	1	3	2
PB.69.2045	18	4	1	10	1
PB.69.2057	6	5	7	4	6
PB.69.2082	3	6	1	1	3
PB.69.2102	15	3	2	5	3
PB.69.2168	2	1	1	3	2
PB.69.2203	5	5	2	3	3
PB.69.2212	9	1	1	1	3
PB.69.2217	2	1	1	2	1
PB.69.2228	14	3	3	3	4
PB.69.2232	9	2	5	9	6
PB.69.2257	32	19	12	44	33
PB.69.2258	7	4	2	1	2
PB.69.2260	45	33	24	116	62
PB.69.2284	16	10	4	17	8
PB.69.2311	7	3	1	7	2
PB.69.2327	1	3	1	2	3
PB.69.2334	3	1	1	2	2
PB.69.2358	34	2	2	2	6
PB.69.2359	26	5	3	2	11
PB.69.2360	70	19	14	50	104
PB.69.2364	14	9	4	12	21
PB.69.2365	23	3	3	1	5
PB.69.2366	1	2	1	1	9
PB.69.2376	21	7	5	24	4
PB.69.2385	12	3	2	13	3
PB.69.2389	5	3	1	1	1
PB.69.2400	22	6	4	10	4
PB.69.2433	42	19	13	79	22
PB.69.2434	24	11	6	24	6
PB.69.2439	10	6	4	8	20
PB.69.2478	12	3	1	10	5
PB.69.2532	9	1	1	2	1
PB.69.2547	41	17	6	32	19
PB.69.2550	12	2	1	14	7
PB.69.2608	5	2	2	3	1
PB.69.2611	2	1	2	1	1
PB.69.2647	41	11	9	20	33
PB.69.2660	31	32	6	29	44
PB.69.2667	4	2	1	6	4
PB.69.2674	14	10	5	14	20
PB.69.2680	11	1	3	1	9
PB.69.2684	41	27	22	55	155
PB.69.2685	29	8	10	20	19
PB.69.2690	19	2	2	7	3
PB.69.2698	62	24	14	65	149
PB.69.2706	15	3	4	13	43
PB.77.9	20	5	10	41	21
PB.77.43	12	10	4	9	3
PB.80.1	5	2	1	1	2
PB.80.3	3	1	2	2	1
PB.82.1	83	29	22	153	257
PB.82.2	139	67	48	158	332
PB.82.3	1210	563	483	1929	1748
PB.82.4	7	4	3	15	18
PB.82.5	10	2	4	21	61
PB.82.6	484	210	202	573	532
PB.82.7	33	20	18	54	42
PB.82.11	31	13	16	30	23
PB.82.13	21	6	6	19	12
PB.82.15	84	37	39	132	108
PB.82.18	16	6	13	19	15
PB.82.19	16	13	7	22	11
PB.82.24	2	1	2	2	1
PB.82.25	27	4	13	14	14
PB.82.26	19	13	7	53	46
PB.82.30	6	4	9	5	4
PB.82.31	27	19	17	38	25
PB.82.45	10	3	9	11	9
PB.82.54	156	76	43	181	291
PB.82.68	4	3	1	7	3
PB.82.96	3	2	1	2	2
PB.82.99	4	1	1	2	2
PB.82.364	11	2	1	2	2
PB.82.365	15	3	1	5	1
PB.82.369	2	2	1	2	2
PB.82.393	4	1	1	1	2
PB.82.413	1	2	1	1	1
PB.84.14	7	3	1	4	5
PB.91.1	72	33	20	41	79
PB.91.7	1	1	4	3	5
PB.91.17	1	1	1	1	2
PB.91.65	9	7	1	5	9
PB.91.67	15	7	2	19	12
PB.91.71	10	2	1	7	3
PB.91.73	27	14	7	22	7
PB.91.85	9	4	3	2	1
PB.91.88	4	2	4	2	2
PB.91.118	25	6	5	25	14
PB.91.128	10	2	1	3	1
PB.91.133	16	5	4	21	4
PB.91.141	9	5	1	8	3
PB.91.151	8	2	1	7	2
PB.91.167	5	1	2	7	3
PB.91.169	3	3	3	2	3
PB.91.173	30	10	2	14	14
PB.91.210	10	9	1	11	5
PB.91.222	21	5	1	10	12
PB.91.226	10	8	3	18	4
PB.91.237	10	8	3	5	5
PB.91.242	5	5	2	2	3
PB.91.307	24	16	13	22	7
PB.91.332	87	40	58	115	69
PB.91.336	2	1	1	4	2
PB.91.351	1	1	2	1	5
PB.91.374	968	438	276	957	1304
PB.91.375	230	89	115	214	304
PB.91.379	4	1	1	5	3
PB.91.386	10	2	7	6	13
PB.91.398	5	7	4	5	11
PB.91.566	2	2	3	6	8
PB.91.660	46	4	13	8	5
PB.91.674	3	1	2	4	2
PB.91.676	498	138	176	97	147
PB.91.712	53	17	17	8	8
PB.91.724	4	1	1	3	2
PB.91.731	9	12	8	11	9
PB.91.744	8	8	7	9	9
PB.91.772	100	46	44	114	179
PB.91.778	2	2	2	1	3
PB.91.825	318	147	150	450	417
PB.91.827	6	4	6	8	1
PB.91.828	9	6	11	18	13
PB.91.831	3	7	4	3	8
PB.91.914	7	1	3	11	4
PB.91.925	73	18	25	33	30
PB.91.942	16	5	5	9	8
PB.91.952	6	2	1	4	7
PB.91.954	6	5	1	4	4
PB.91.958	22	11	5	40	16
PB.91.990	25	12	1	22	12
PB.91.993	25	11	5	27	14
PB.91.996	9	6	1	9	3
PB.91.1015	5	9	1	9	7
PB.91.1016	5	5	2	2	2
PB.91.1038	76	39	52	67	71
PB.91.1084	59	49	67	82	81
PB.91.1088	1	1	4	2	1
PB.91.1158	31	22	3	14	17
PB.91.1160	7	2	1	3	2
PB.91.1167	15	3	10	11	14
PB.91.1168	12	6	7	3	4
PB.91.1169	7	3	8	5	8
PB.91.1204	289	114	110	370	407
PB.91.1205	143	28	80	215	218
PB.91.1209	4	1	2	1	1
PB.91.1211	9	3	6	5	4
PB.91.1212	6	5	3	3	1
PB.91.1216	4	2	2	4	3
PB.91.1233	7	1	1	5	4
PB.91.1404	15	2	1	1	2
PB.91.1428	2	2	1	2	6
PB.91.1437	30	8	2	15	26
PB.91.1454	5	2	3	2	4
PB.91.1466	15	5	10	14	10
PB.91.1468	4	2	2	5	3
PB.91.1469	28	7	11	17	23
PB.91.1470	7	3	4	6	6
PB.91.1495	6	4	1	2	3
PB.91.1505	8	4	2	5	8
PB.91.1520	41	13	7	50	40
PB.91.1536	98	34	37	161	254
PB.91.1615	371	215	177	375	673
PB.91.1616	178	110	209	236	326
PB.91.1623	9	3	3	31	12
PB.91.1624	6	2	1	16	7
PB.91.1629	10	8	25	25	24
PB.91.1648	1	2	4	4	4
PB.91.1659	3	1	2	4	1
PB.91.1660	14	9	17	8	21
PB.91.1666	1	1	1	3	2
PB.91.1676	5	2	2	18	5
PB.91.1686	1	3	1	1	6
PB.91.1687	5	3	4	5	7
PB.91.1701	10	3	14	12	20
PB.91.1716	3	1	3	5	2
PB.91.1722	1	4	2	2	1
PB.91.1735	1	3	1	9	1
PB.91.1743	1	2	2	9	6
PB.91.2160	24	16	7	41	26
PB.91.2179	9	2	2	5	2
PB.91.2187	174	20	27	62	26
PB.91.2210	51	11	19	10	11
PB.91.2255	2638	894	903	3457	3706
PB.91.2256	637	225	256	1211	968
PB.91.2257	43	23	23	49	41
PB.91.2259	131	47	67	250	261
PB.91.2260	6	5	8	11	6
PB.91.2268	5	3	9	14	12
PB.91.2270	7	1	2	8	5
PB.91.2278	5	1	1	5	5
