	Pro1	Pro2	Pro3	R2F01	R2F16
PB.551.2654	3	1	2	1	4
PB.551.2660	3592	1089	866	3492	3837
PB.551.3067	25	12	10	32	17
PB.551.3075	6	2	2	6	4
PB.551.3078	67	7	7	29	31
PB.551.3083	6	2	1	3	2
PB.551.3086	15	2	5	7	1
PB.551.3089	593	149	171	123	110
PB.551.3092	4	1	3	8	5
PB.551.3105	22	5	3	25	32
PB.551.3114	842	179	131	202	243
PB.551.3115	1	1	1	5	2
PB.551.3126	44	11	6	37	43
PB.551.3131	36	11	6	36	37
PB.551.3143	60	9	5	27	23
PB.551.3144	1	2	2	2	2
PB.551.3149	16	3	2	3	5
PB.551.3153	18	7	5	11	19
PB.551.3155	4	2	1	1	6
PB.551.3161	3	2	1	1	5
PB.558.1	7	4	2	4	2
PB.563.5	10	2	8	13	6
PB.563.11	93	42	64	233	63
PB.563.13	13	6	1	7	5
PB.563.18	44	15	16	104	37
PB.563.34	57	29	13	37	25
PB.563.36	12	5	3	13	4
PB.563.49	12	4	2	2	8
PB.563.53	1	1	2	1	1
PB.563.64	6	7	1	3	3
PB.563.78	18	9	5	12	17
PB.563.83	2	4	3	2	1
PB.563.101	2	2	1	3	1
PB.563.126	3	5	1	2	4
PB.563.145	6	2	2	10	1
PB.563.146	45	16	14	136	23
PB.563.150	7	4	1	13	1
PB.563.226	4	1	1	2	2
PB.563.232	1	1	2	2	1
PB.563.254	33	15	17	41	30
PB.563.261	28	8	4	52	20
PB.563.276	2	2	1	1	3
PB.563.317	9	7	6	7	3
PB.563.320	12	11	11	8	5
PB.563.321	3	1	2	8	10
PB.563.339	10	1	3	3	5
PB.563.343	23	15	14	39	8
PB.563.367	12	10	16	25	16
PB.563.379	8	4	4	5	3
PB.563.389	35	18	12	36	18
PB.563.416	5	2	7	6	2
PB.563.420	32	14	7	25	24
PB.563.436	3	5	1	5	3
PB.563.438	2	1	2	1	2
PB.563.457	78	32	26	58	30
PB.563.465	11	5	6	18	9
PB.563.479	10	2	10	12	6
PB.563.495	10	6	1	13	4
PB.563.503	99	47	32	73	74
PB.563.508	7	6	1	2	5
PB.563.520	52	19	2	24	26
PB.563.528	18	9	5	11	11
PB.563.538	10	5	11	7	12
PB.563.542	7	1	2	4	1
PB.563.572	43	17	19	42	12
PB.563.580	12	9	4	17	13
PB.563.581	10	8	2	8	12
PB.563.588	10	13	9	13	6
PB.563.607	10	5	7	11	7
PB.563.610	17	12	4	7	3
PB.563.656	22	10	3	10	7
PB.563.659	12	5	7	6	6
PB.563.669	4	2	3	3	5
PB.563.686	17	5	2	10	3
PB.563.692	4	5	2	5	4
PB.563.697	16	6	5	7	11
PB.563.716	33	10	10	21	6
PB.563.744	49	12	5	24	7
PB.563.751	21	1	1	14	3
PB.563.756	57	17	9	30	25
PB.563.765	7	5	1	7	15
PB.563.767	14	12	7	11	8
PB.579.2	2	1	2	2	4
PB.583.1	20	10	4	72	143
PB.583.58	7	1	2	6	15
PB.583.85	2	2	1	3	1
PB.583.130	5	1	1	2	3
PB.583.134	17	5	1	21	31
PB.583.137	17	2	2	19	21
PB.583.142	39	15	5	60	77
PB.583.198	2	1	1	2	2
PB.583.199	8	8	3	7	8
PB.583.214	17	5	4	6	2
PB.583.234	5	3	4	5	1
PB.583.257	9	3	3	3	3
PB.583.272	19	2	1	10	10
PB.583.298	25	9	4	12	5
PB.583.301	13	5	1	5	5
PB.583.314	14	5	3	10	1
PB.583.319	32	7	2	11	2
PB.597.1	24	11	2	21	5
PB.602.5	9	3	5	9	3
PB.606.1	7	4	5	3	6
PB.607.2	6	1	1	6	1
PB.607.13	14	3	3	23	4
PB.607.15	13	4	3	6	2
PB.609.1	10	3	3	17	3
PB.615.9	11	4	4	17	32
PB.615.67	15	5	3	8	8
PB.615.70	12	11	2	18	3
PB.615.74	11	7	1	25	7
PB.615.87	9	3	1	11	5
PB.615.91	5	4	4	4	1
PB.615.107	1	1	1	1	1
PB.615.111	2	5	5	1	6
PB.615.123	67	32	16	26	18
PB.615.138	14	20	2	4	4
PB.615.144	12	9	4	13	12
PB.615.145	4	6	3	3	1
PB.615.148	3	1	1	2	1
PB.615.150	2	2	1	4	5
PB.615.151	5	4	1	3	6
PB.615.194	3	3	4	1	2
PB.615.217	1	2	3	8	17
PB.615.227	47	19	10	41	37
PB.615.229	22	14	8	11	38
PB.615.248	12	2	4	7	8
PB.615.251	14	7	2	18	19
PB.615.263	11	4	3	28	14
PB.615.282	8	2	2	7	6
PB.615.284	2	2	1	5	1
PB.615.300	56	34	21	76	86
PB.615.301	38	11	12	41	108
PB.615.346	15	5	3	17	26
PB.615.354	3	2	3	4	12
PB.615.355	2	1	1	3	2
PB.615.360	9	5	3	5	7
PB.615.372	19	8	4	5	21
PB.615.373	5	4	1	2	6
PB.615.385	98	12	41	115	116
PB.615.392	4	4	1	1	3
PB.615.455	19	1	3	11	8
PB.615.499	70	15	22	61	47
PB.615.502	2	1	1	12	4
PB.615.503	5	2	1	8	3
PB.615.508	31	13	18	35	63
PB.615.510	5	2	1	8	3
PB.615.567	45	10	12	27	15
PB.615.573	24	1	3	6	1
PB.615.577	13	4	2	22	7
PB.615.595	17	2	2	3	1
PB.615.611	5	1	1	1	2
PB.615.612	4	1	2	2	1
PB.615.622	11	2	2	3	3
PB.615.634	8	3	1	17	8
PB.615.642	6	3	3	11	6
PB.615.657	9	1	2	7	2
PB.615.667	5	3	5	34	12
PB.615.679	7	1	2	13	6
PB.615.682	8	2	2	18	14
PB.615.726	1	3	1	7	1
PB.628.5	1	1	1	1	3
PB.628.8	6	5	3	3	7
PB.628.17	2	3	2	2	1
PB.628.18	8	2	4	5	3
PB.628.21	10	5	1	2	2
PB.628.82	10	1	3	4	3
PB.628.87	15	1	1	42	20
PB.628.91	12	8	3	21	9
PB.628.113	3	1	2	1	8
PB.628.183	83	40	32	68	43
PB.628.188	7	5	1	1	4
PB.628.218	288	162	122	160	131
PB.628.233	17	9	6	9	6
PB.628.236	12	7	7	8	1
PB.628.249	4	4	1	6	1
PB.628.252	4	2	2	5	1
PB.628.275	524	270	188	534	1032
PB.628.401	3	4	3	2	1
PB.628.406	99	35	24	84	160
PB.628.423	54	16	8	12	19
PB.628.442	4	3	4	1	3
PB.628.459	12	9	1	22	15
PB.628.500	7	3	6	3	1
PB.628.512	28	8	4	7	5
PB.628.514	54	24	22	3	1
PB.628.577	11	4	2	6	5
PB.628.589	6	4	2	2	6
PB.628.610	5	6	3	7	2
PB.628.612	7	4	1	6	4
PB.628.660	10	3	1	15	9
PB.628.739	1	1	2	1	4
PB.628.742	6	4	3	3	2
PB.628.744	5	1	1	1	5
PB.628.748	6	6	3	6	4
PB.628.784	107	42	36	186	184
PB.628.882	236	61	71	269	222
PB.628.886	4	1	2	2	4
PB.628.889	12	4	8	10	11
PB.628.944	5	5	1	10	5
PB.628.951	5	2	1	2	2
PB.628.952	98	39	40	128	58
PB.628.956	10	2	3	8	4
PB.628.1002	8	3	1	4	10
PB.628.1007	4	1	1	2	1
PB.628.1063	23	9	4	15	4
PB.628.1079	8	6	2	3	4
PB.628.1080	1	1	1	2	2
PB.628.1104	5	5	1	6	6
PB.628.1128	18	3	1	12	8
PB.628.1137	4	1	1	3	1
PB.628.1139	7	8	1	6	5
PB.628.1155	16	7	1	15	5
PB.628.1178	5	3	6	5	15
PB.628.1199	74	41	19	86	144
PB.628.1248	9	8	2	7	14
PB.628.1302	14	6	2	21	22
PB.628.1320	19	5	2	9	23
PB.628.1321	32	12	10	16	17
PB.628.1322	24	10	15	28	23
PB.628.1323	20	6	9	12	15
PB.628.1326	1	2	2	4	2
PB.628.1327	3	1	1	1	3
PB.628.1352	11	5	2	6	7
PB.628.1361	7	5	3	14	9
PB.628.1377	37	13	22	75	77
PB.628.1378	42	13	14	87	81
PB.628.1382	28	7	8	14	37
PB.628.1383	1	2	1	3	4
PB.628.1412	141	50	67	146	156
PB.628.1413	101	51	44	103	86
PB.628.1414	14	5	9	4	7
PB.628.1415	4	1	1	3	5
PB.628.1418	4	1	1	2	1
PB.628.1471	4	1	5	7	5
PB.628.1472	6	1	3	2	2
PB.628.1486	25	4	10	11	19
PB.628.1487	25	3	3	13	16
PB.628.1489	10	2	2	6	3
PB.628.1494	4	1	1	2	1
PB.628.1510	4	5	1	1	1
PB.628.1521	4	2	3	3	2
PB.628.1527	14	4	2	5	10
PB.628.1543	18	11	4	15	12
PB.628.1557	10	2	3	1	3
PB.628.1567	14	6	8	8	10
PB.628.1572	8	7	1	1	6
PB.628.1635	3	1	1	2	1
PB.628.1687	6	2	1	3	2
PB.628.1697	1	2	1	6	1
PB.628.1699	6	1	3	3	3
PB.628.1707	3	6	1	4	1
PB.628.1724	61	45	70	66	32
PB.628.1728	14	9	15	24	7
PB.628.1734	18	6	12	22	10
PB.628.1758	14	6	5	12	9
PB.628.1768	14	8	2	13	3
PB.628.1780	6	8	1	4	2
PB.628.1781	2	4	2	2	2
PB.628.1783	8	3	3	2	5
PB.628.1788	4	2	1	5	2
PB.628.1794	53	21	23	71	24
PB.628.1811	24	24	4	31	17
PB.628.1817	7	3	2	6	1
PB.628.1835	6	1	1	7	6
PB.628.1841	22	12	6	16	13
PB.628.1845	3	1	4	5	2
PB.628.1876	5	3	2	2	1
PB.628.1883	49	27	19	91	21
PB.628.1894	67	19	16	60	30
PB.628.1911	5	2	1	6	1
PB.628.1918	3	1	1	7	2
PB.628.1921	1	1	1	6	1
PB.631.49	39	26	12	46	10
PB.639.23	12	6	5	16	5
PB.639.37	2	3	5	4	1
PB.644.5	3	3	2	2	2
PB.644.12	3	7	1	5	2
PB.644.23	10	7	3	10	6
PB.644.43	5	2	1	1	3
PB.644.53	9	3	2	14	2
PB.644.60	4	5	3	2	10
PB.644.113	70	28	11	63	133
PB.644.114	22	13	6	22	46
PB.644.164	3	4	1	4	3
PB.644.180	27	7	2	23	21
PB.644.199	6	1	1	4	1
PB.644.204	19	12	7	29	24
PB.644.215	3	2	1	2	3
PB.644.268	14	8	3	11	18
PB.644.283	71	32	19	63	54
PB.644.308	38	10	9	22	22
PB.644.309	3	1	2	1	1
PB.644.317	34	8	11	25	41
PB.644.338	17	6	6	12	6
PB.644.349	11	3	1	2	1
PB.644.353	54	38	25	70	41
PB.644.376	176	56	69	189	133
PB.644.378	6	2	3	6	7
PB.644.379	3	1	2	13	19
PB.644.396	6	2	4	7	6
PB.644.406	12	4	2	4	7
PB.644.408	6	3	2	10	3
PB.644.414	11	2	1	6	3
PB.644.420	5	7	4	13	4
PB.644.426	10	3	3	3	4
PB.644.461	5	4	4	5	1
PB.644.542	7	3	7	20	3
PB.649.5	4	4	3	10	9
PB.657.1	21	6	2	26	29
PB.657.3	20	8	1	29	19
PB.657.4	131	38	43	203	340
PB.657.5	18	3	2	21	29
PB.657.20	70	7	3	62	84
PB.657.21	9	6	5	10	15
PB.657.22	34	5	4	41	22
PB.657.28	4	2	1	8	14
PB.657.36	12	2	1	33	30
PB.657.43	6	4	1	5	4
PB.657.62	3	1	2	5	14
PB.657.137	6	1	1	12	3
PB.657.139	11	3	1	13	16
PB.657.169	9	2	3	18	15
PB.657.176	15	3	2	26	35
PB.657.179	3	2	1	7	13
PB.657.196	17	3	2	41	29
PB.657.208	4	1	1	3	6
PB.657.271	13	3	1	29	24
PB.657.349	3	2	1	6	11
PB.657.366	20	1	7	6	4
PB.657.370	17	19	21	20	33
PB.657.374	10	5	4	6	7
PB.657.375	7	4	5	10	5
PB.657.393	15	5	4	3	10
PB.657.396	14	4	5	13	12
PB.657.397	5	4	1	3	10
PB.657.417	25	8	15	18	21
PB.657.452	2	1	2	2	1
PB.657.533	4	1	1	3	2
PB.657.603	13	5	6	2	8
PB.657.604	11	1	1	4	3
PB.657.621	7	4	3	7	2
PB.657.682	15	3	1	1	4
PB.657.702	9	5	3	6	9
PB.657.705	18	6	4	11	7
PB.657.710	10	6	8	20	5
PB.657.725	16	7	1	7	9
PB.657.732	1	2	1	8	1
PB.657.737	11	4	4	7	8
PB.657.742	10	10	4	6	4
PB.657.743	4	2	3	2	3
PB.657.756	3	4	1	2	2
PB.657.785	5	2	1	1	1
PB.657.806	32	20	10	33	8
PB.657.818	11	7	4	6	2
PB.657.819	12	11	5	8	5
PB.657.834	12	10	1	3	13
PB.657.838	6	1	1	5	1
PB.657.850	1	1	1	1	4
PB.657.887	70	42	18	80	47
PB.657.891	82	18	19	27	21
PB.657.892	12	7	2	8	24
PB.657.893	84	33	25	57	69
PB.657.894	20	4	7	22	18
PB.657.896	32	5	8	16	12
PB.657.897	30	9	7	17	27
PB.657.900	6	10	2	12	12
PB.657.903	17	7	1	22	5
PB.657.907	14	1	5	1	6
PB.657.916	24	15	1	7	16
PB.657.931	66	66	23	17	30
PB.657.961	27	7	5	7	10
PB.657.962	4	1	1	3	7
PB.657.1074	1	2	1	3	2
PB.657.1113	6	6	2	5	8
PB.657.1142	5	2	1	2	1
PB.657.1198	102	62	49	8	2
PB.657.1199	1971	1203	1257	778	259
PB.657.1202	18	7	4	1	1
PB.657.1204	107	70	58	26	11
PB.657.1212	21	11	12	8	2
PB.657.1214	8	6	2	2	1
PB.657.1343	3	5	1	4	2
PB.657.1345	27	9	8	30	41
PB.657.1346	18	4	2	14	13
PB.657.1347	10	5	1	1	4
PB.657.1348	12	4	1	1	1
PB.657.1350	11	3	2	6	9
PB.657.1351	15	4	2	3	2
PB.657.1352	39	15	7	6	9
PB.657.1353	15	10	5	2	12
PB.657.1355	10	3	2	3	5
PB.657.1363	2	1	2	2	2
PB.657.1364	7	5	3	5	1
PB.657.1365	36	17	9	48	85
PB.657.1369	10	5	2	6	4
PB.657.1380	11	6	4	16	18
PB.657.1411	9	3	3	8	7
PB.657.1422	14	7	2	8	11
PB.657.1434	2	1	3	2	2
PB.657.1483	2	3	1	1	3
PB.657.1499	5	4	4	5	7
PB.657.1507	4	1	1	3	3
PB.657.1557	8	3	1	10	11
PB.657.1577	11	3	2	16	5
PB.657.1590	7	8	2	8	5
PB.657.1622	3	1	1	6	4
PB.657.1669	3	3	1	1	4
PB.657.1676	21	8	6	23	18
PB.657.1677	14	7	1	33	8
PB.657.1686	34	17	6	46	36
PB.657.1690	10	3	1	4	6
PB.657.1694	1	2	1	11	1
PB.657.1702	9	2	1	6	14
PB.657.1704	20	6	7	16	10
PB.657.1709	11	11	6	52	28
PB.657.1718	3	1	2	2	1
PB.657.1730	3	5	1	4	4
PB.657.1736	6	5	2	8	1
PB.657.1742	7	6	5	19	5
PB.657.1748	6	2	2	1	1
PB.657.1751	18	9	3	21	7
PB.657.1779	10	8	2	9	15
PB.657.1784	8	5	2	11	8
PB.657.1799	14	4	2	16	10
PB.657.1816	8	2	1	3	3
PB.657.1838	8	6	1	19	9
PB.657.1844	6	4	1	23	5
PB.657.1853	7	5	3	18	4
PB.657.1854	13	7	2	15	14
PB.657.1864	55	23	18	73	67
PB.657.1877	6	3	1	10	10
PB.657.1883	10	1	2	3	4
PB.657.1884	26	11	10	28	12
PB.657.1885	23	7	3	5	10
PB.657.1887	8	4	1	9	8
PB.657.1901	6	4	1	11	6
PB.657.1913	25	7	3	21	25
PB.657.1939	16	9	2	15	15
PB.657.1950	19	15	8	47	27
PB.657.1951	1	1	1	4	1
PB.657.1957	5	3	1	9	7
PB.657.1958	13	2	2	7	1
PB.657.1964	9	8	5	9	14
PB.657.1965	3	3	1	5	4
PB.657.1968	9	5	2	17	7
PB.657.1971	19	6	3	18	11
PB.657.1975	1	1	1	4	5
PB.657.1999	6	1	1	4	2
PB.657.2007	11	3	1	3	11
PB.657.2008	9	2	1	16	6
PB.657.2018	5	3	1	18	6
PB.657.2023	12	4	2	24	7
PB.657.2027	25	12	2	48	18
PB.657.2037	5	5	1	7	1
PB.657.2043	22	9	6	37	18
PB.657.2045	9	5	2	15	5
PB.657.2056	5	4	2	11	6
PB.657.2057	6	1	1	2	1
PB.657.2062	11	1	2	1	1
PB.657.2063	14	6	3	6	6
PB.657.2100	3	2	3	4	1
PB.657.2102	5	3	2	9	1
PB.657.2130	20	2	5	18	9
PB.657.2147	15	5	1	11	5
PB.657.2156	4	1	1	10	3
PB.657.2203	6	1	1	7	2
PB.657.2234	1	3	1	1	1
PB.657.2235	20	28	18	10	13
PB.657.2236	15	9	4	25	7
PB.657.2237	10	3	1	4	1
PB.657.2239	27	6	5	8	10
PB.657.2243	15	3	2	3	2
PB.657.2256	8	5	2	3	1
PB.657.2259	16	8	2	8	9
PB.657.2261	23	8	4	14	13
PB.657.2264	15	11	4	35	4
PB.657.2290	2	6	1	1	3
PB.657.2294	33	6	1	12	14
PB.657.2345	2	1	1	1	2
PB.657.2347	10	4	3	5	6
PB.657.2350	10	5	2	16	8
PB.657.2354	3	3	2	12	4
PB.657.2360	13	6	2	14	3
PB.657.2361	14	2	1	10	7
PB.657.2393	6	2	1	6	1
PB.657.2428	52	33	18	48	91
PB.657.2449	29	7	5	9	11
PB.657.2491	15	4	2	29	7
PB.657.2502	5	1	1	13	4
PB.657.2503	4	2	2	2	1
PB.657.2520	3	3	2	13	6
PB.657.2524	10	3	1	10	4
PB.657.2535	3	2	1	4	4
PB.657.2543	6	1	1	14	1
PB.657.2566	8	2	1	4	2
PB.657.2582	3	2	1	3	1
PB.657.2589	9	3	1	12	6
PB.657.2630	24	19	8	26	31
PB.657.2632	39	12	14	48	40
PB.657.2656	4	4	2	24	7
PB.657.2661	4	3	1	5	2
PB.657.2689	11	4	1	8	5
PB.657.2690	22	9	5	19	20
PB.657.2698	6	7	2	12	12
PB.657.2737	3	1	2	4	3
PB.657.2740	5	4	1	4	10
PB.657.2759	1	1	1	1	2
PB.657.2786	4	2	3	4	2
PB.657.2794	9	1	2	8	3
PB.657.2817	5	1	1	5	2
PB.657.2824	15	9	3	15	24
PB.657.2834	8	5	2	7	12
PB.657.2835	9	6	2	11	7
PB.657.2845	8	1	1	11	8
PB.657.2902	21	6	6	49	77
PB.657.2903	15	1	3	18	23
PB.657.2931	11	1	1	2	3
PB.657.2958	4	1	1	3	1
PB.657.2967	2	2	1	6	4
PB.657.2974	37	20	15	41	43
PB.657.2976	21	6	4	7	4
PB.657.2977	44	19	12	24	51
PB.657.2978	132	58	25	88	132
PB.657.2979	61	11	5	5	8
PB.657.2980	20	10	2	6	5
PB.657.2981	120	72	32	78	103
PB.657.2982	143	44	30	73	154
PB.657.2985	25	12	5	4	4
PB.657.2996	6	2	2	3	5
PB.657.2998	17	4	2	4	3
PB.657.2999	11	3	3	3	4
PB.657.3196	1	2	1	1	1
PB.657.3229	6	5	2	3	2
PB.657.3236	3	1	1	4	2
PB.657.3267	78	29	23	60	85
PB.657.3268	16	4	9	6	7
PB.657.3269	31	12	24	9	1
PB.657.3270	43	22	16	11	6
PB.657.3274	12	11	10	19	8
PB.657.3279	3	3	2	4	3
PB.657.3283	6	1	1	1	2
PB.657.3295	2	5	2	3	2
PB.657.3296	8	2	1	5	4
PB.657.3301	6	1	1	3	7
PB.657.3313	113	29	49	68	73
PB.657.3314	51	15	24	52	69
PB.657.3318	4	1	2	3	6
PB.657.3321	3	1	8	6	3
PB.657.3325	1	1	1	1	1
PB.657.3344	2	1	2	1	1
PB.657.3437	3	1	1	3	2
PB.657.3474	12	5	6	15	11
PB.657.3475	38	15	13	18	20
PB.657.3478	83	39	32	78	77
PB.657.3479	7	3	2	3	2
PB.657.3482	21	6	3	14	3
PB.657.3490	16	4	1	8	6
PB.657.3495	5	3	5	6	7
PB.657.3496	2	3	2	1	1
PB.657.3514	14	6	4	14	22
PB.657.3641	9	6	1	6	2
PB.657.3651	7	8	1	13	16
PB.657.3671	2	1	1	8	6
PB.657.3674	3	3	2	5	6
PB.657.3716	3	2	1	1	1
PB.657.3734	4	3	3	2	4
PB.657.3740	5	2	1	8	5
PB.657.3750	7	3	2	9	6
PB.657.3755	13	2	1	6	4
PB.657.3806	7	4	1	2	6
PB.657.3826	15	4	2	7	7
PB.657.3840	12	1	1	10	3
PB.657.3849	5	2	2	9	5
PB.657.3861	6	5	2	4	1
PB.657.3875	3	2	3	4	5
PB.657.3881	2	1	2	12	4
PB.657.3924	4	3	1	3	3
PB.657.3925	3	1	1	3	2
PB.657.4002	8	1	1	3	12
PB.663.7	38	3	3	45	24
PB.668.40	23	2	1	42	30
PB.678.3	41	5	4	111	199
PB.678.14	58	5	6	140	174
PB.678.25	8	1	1	12	13
PB.678.52	23	4	1	19	11
PB.678.85	5	4	1	8	3
PB.678.93	9	2	2	23	10
PB.678.102	14	3	3	37	33
PB.678.116	2	2	1	5	2
PB.678.140	12	1	1	13	21
PB.678.145	8	1	1	8	9
PB.678.179	25	3	7	37	44
PB.678.214	7	1	1	7	5
PB.678.304	25	3	1	32	19
PB.712.2	9	9	7	17	5
PB.713.1	70	20	2	11	19
PB.713.2	236	66	29	70	76
PB.713.3	8	2	1	8	1
PB.713.4	75	32	27	47	69
PB.713.6	119	28	26	46	36
PB.713.8	284	139	68	323	487
PB.713.11	6	4	3	10	10
PB.713.14	31	13	7	4	12
PB.713.15	64	13	15	19	19
PB.713.16	21	11	5	20	19
PB.713.17	4	2	1	6	2
PB.713.20	27	4	6	13	17
PB.713.23	10	6	1	8	16
PB.713.27	5	3	2	1	2
PB.713.29	3	2	1	8	2
PB.713.37	34	21	5	29	49
PB.713.43	4	1	1	1	3
PB.713.47	1	3	1	2	2
PB.713.62	10	8	1	11	15
PB.713.82	20	14	9	10	25
PB.713.95	39	21	11	33	29
PB.713.131	8	1	1	4	3
PB.713.159	4	2	1	4	2
PB.713.189	1	1	1	3	4
PB.720.2	29	22	12	16	35
PB.720.3	14	5	2	3	3
PB.720.4	19	9	10	10	11
PB.720.5	5	1	1	2	2
PB.720.11	29	20	21	34	31
PB.720.15	18	6	1	19	11
PB.720.35	2	1	1	3	2
PB.720.39	7	3	1	2	9
PB.724.10	3	2	1	1	1
PB.724.14	1	1	1	2	2
PB.724.27	7	5	1	15	4
PB.724.38	12	11	14	60	24
PB.724.39	12	13	7	17	17
PB.724.59	4	6	3	8	1
PB.730.1	1	1	2	1	2
PB.730.7	13	5	4	6	3
PB.734.27	7	4	2	18	10
PB.746.12	21	8	4	2	5
PB.750.2	3	1	2	2	1
PB.750.9	20	9	6	18	27
PB.750.12	20	8	19	23	24
PB.750.15	75	36	11	44	61
PB.750.16	24	11	6	19	32
PB.750.17	2	2	8	6	4
PB.750.39	8	5	5	2	5
PB.750.52	13	4	2	6	3
PB.751.14	486	371	220	455	615
PB.751.15	9	6	4	16	6
PB.751.19	10	12	6	5	3
PB.751.84	7	4	2	4	6
PB.751.88	18	13	3	16	7
PB.751.99	7	1	3	10	1
PB.751.121	3	3	2	4	4
PB.751.142	144	85	40	179	225
PB.751.194	15	5	5	7	14
PB.751.205	11	1	2	4	1
PB.751.215	1	2	3	2	4
PB.751.220	5	1	1	2	2
PB.751.227	8	3	1	1	9
PB.751.233	5	3	1	6	4
PB.751.234	13	5	5	17	8
PB.751.270	2	1	2	1	1
PB.751.278	20	8	1	15	11
PB.751.280	7	6	2	11	10
PB.751.282	13	5	5	19	8
PB.751.285	4	1	1	3	3
PB.751.294	5	6	2	8	8
PB.751.299	3	3	3	9	7
PB.751.301	6	2	2	5	4
PB.751.315	3	1	2	4	4
PB.751.316	4	2	2	2	2
PB.751.327	6	6	6	9	10
PB.751.332	142	31	61	45	44
PB.751.341	15	1	4	5	5
PB.751.367	3	1	1	3	1
PB.751.388	152	66	34	158	176
PB.751.419	20	3	5	2	6
PB.751.436	15	5	1	8	3
PB.751.440	3	1	1	2	2
PB.751.464	5	2	2	7	4
PB.751.468	8	3	2	6	4
PB.751.472	6	2	1	8	2
PB.751.490	2	1	2	5	4
PB.751.544	4	3	1	4	2
PB.751.553	2	3	3	4	4
PB.751.586	5	2	1	1	1
PB.751.594	3	2	1	3	1
PB.751.620	5	3	2	1	5
PB.751.626	10	5	1	6	2
PB.751.679	7	3	3	6	3
PB.751.680	2	6	2	2	3
PB.751.744	2	1	1	1	1
PB.751.750	9	4	2	6	7
PB.751.754	8	6	2	7	4
PB.751.755	12	1	4	4	2
PB.751.761	2	1	1	3	2
PB.751.780	2	1	1	3	3
PB.751.783	17	5	8	16	8
PB.751.794	7	4	4	6	12
PB.751.795	12	4	3	9	7
PB.751.804	20	2	5	1	3
PB.751.809	70	14	21	18	14
PB.792.1	52	26	16	42	43
PB.792.8	4	6	2	8	3
PB.792.9	2	1	1	1	3
PB.792.12	7	6	6	12	20
PB.792.14	3	1	1	2	1
PB.792.15	14	2	8	9	6
PB.792.20	10	4	11	9	5
PB.792.25	3	2	1	2	3
PB.792.53	26	10	5	37	43
PB.792.131	18	2	4	5	3
PB.792.133	25	12	13	33	54
PB.792.134	12	6	2	30	35
PB.792.136	14	5	2	14	15
PB.792.156	14	8	12	15	10
PB.792.158	5	3	4	8	2
PB.794.5	3	2	1	1	1
PB.796.18	35	13	17	29	31
PB.796.53	4	1	1	5	2
PB.796.60	5	3	1	12	1
PB.796.78	2	1	2	2	3
PB.796.82	299	112	104	202	262
PB.796.87	27	13	19	14	24
PB.796.101	5	2	1	2	5
PB.812.1	636	171	232	683	523
PB.812.2	78	23	38	89	37
PB.812.3	11	1	5	6	5
PB.812.4	14	2	3	8	4
PB.812.5	15	4	10	10	4
PB.812.14	10	1	6	6	9
PB.812.44	4	1	1	2	2
PB.812.279	4	1	1	21	1
PB.812.281	8	5	5	44	9
PB.812.290	4	3	5	6	5
PB.812.292	6	3	1	3	6
PB.812.295	47	23	21	37	35
PB.812.301	2	1	2	4	3
PB.812.309	5	1	2	3	1
PB.812.310	6	4	1	2	2
PB.812.311	9	2	4	11	26
PB.812.312	15	8	2	27	8
PB.812.411	2	1	1	4	4
PB.812.443	63	15	13	57	51
PB.812.504	34	5	3	5	4
PB.812.505	290	53	40	81	65
PB.812.506	27	12	7	36	1
PB.812.507	54	16	10	54	20
PB.812.508	150	29	11	41	11
PB.812.580	9	3	4	3	6
PB.812.599	59	18	13	37	17
PB.812.600	21	5	1	41	13
PB.812.601	128	14	26	32	12
PB.812.602	26	2	3	4	1
PB.812.603	242	131	42	360	475
PB.812.604	276	150	81	814	342
PB.812.606	614	246	172	610	625
PB.812.607	2	2	1	5	4
PB.812.613	7	5	3	11	2
PB.812.615	13	7	1	4	2
PB.812.625	7	4	2	7	3
PB.812.649	4	1	1	17	2
PB.812.670	20	1	2	4	5
PB.812.681	2	3	1	1	1
PB.812.735	3	1	1	3	1
PB.812.872	8	4	2	13	5
PB.812.889	15	4	3	14	10
PB.812.907	5	3	3	6	1
PB.812.1020	9	1	1	12	7
PB.812.1157	28	4	2	4	11
PB.812.1162	64	37	22	74	151
PB.812.1174	9	2	2	9	9
PB.812.1191	1	3	1	3	2
PB.812.1217	8	1	1	8	7
PB.812.1270	17	16	10	18	13
PB.812.1271	12	1	1	16	3
PB.812.1298	5	3	3	6	10
PB.814.4	4	1	1	5	1
PB.814.10	53	11	8	95	127
PB.814.19	37	8	1	90	72
PB.814.25	10	4	1	25	24
PB.814.34	32	13	15	57	65
PB.814.42	6	5	2	8	7
PB.814.70	2	6	1	11	14
PB.814.76	3	1	1	5	1
PB.814.89	7	4	1	7	5
PB.814.92	11	5	1	18	7
PB.814.97	10	1	3	7	7
PB.814.99	12	2	1	14	17
PB.814.101	21	4	2	35	23
PB.814.134	9	1	2	16	2
PB.814.162	18	9	7	40	22
PB.814.227	7	6	2	3	1
PB.814.235	98	15	3	7	9
PB.814.255	236	91	50	317	415
PB.814.257	8	4	7	7	13
PB.814.284	229	96	49	353	485
PB.814.315	4	3	2	2	3
PB.814.317	11	3	3	1	10
PB.814.322	44	11	11	28	26
PB.814.377	1	1	1	6	2
PB.814.379	4	6	2	2	3
PB.814.407	6	5	2	5	4
